codigo,descricao,valor_promocao,loja
000000596138,CINTO JAMES SINTETICO CATRACA MASC LEGADO UNICO,19.99,16
000000598521,CINTO JAMES SINTETICO MASC ADULTO,19.99,16
000000627344,CINTO JAMES ELASTICO MASC LEGADO UNICO,19.99,16
000000784207,CINTO JAMES SINT 2305571 FIV RODEIO UNISEX LEGADO UNICO,19.99,16
000000680189,GARRAFA PLASUTIL 14463 H.ARANHA 530,14.99,16
000000759601,GARRAFA PLASUTI 15834 STITCH 530ML,14.99,16
000000791861,COPO PLASUTIL 17450 LUDIC STITCH,14.99,16
000000791878,COPO PLASUTIL 17449 LUDI STITCH 500,14.99,16
000000791892,COPO PLASUTIL 17705 LILO STITCH 500,14.99,16
000000791915,COPO PLASUTIL 17441 MINNIE 500ML,14.99,16
000000791922,COPO PLASUTIL 17439 STITCH 500ML,14.99,16
000000428910,CINTO JAMES SINTETICO MASC P LEGADO UNICO,14.99,16
000000517454,CINTO JAMES COURINO CAIXINHA LEGADO UNICO,14.99,16
000000759496,COPO PLASUTIL 15831 STITCH 500ML,14.99,16
000000759670,SANDUICHEIRA PLASUTIL 16946 ESTRIAD,9.99,16
000000759472,COPO PLASUTIL 15832 STITCH 280ML,4.99,16
000000792059,SABONETEIRA PLASUTIL 17141 STITCH,4.99,16
000000731522,SANDALIA VIZZANO 64991107286 35312 LEGADO,99.99,16
000000732215,TENIS MOLEKINHA 256510225586 15816 LEGADO,99.99,16
000000732154,BOTA MOLEKINHA 216413123655 15745 LEGADO,79.99,16
000000732208,TENIS MOLEKINHA 257710020703 93848 LEGADO,59.99,16
000000680417,TENIS BATATINHA 1181 28A37 2023 FEM LEGADO,59.99,16
000000729444,TENIS MOLEKINHO 286310027010 15745 LEGADO,59.99,16
000000732185,TENIS MOLEKINHA 250332120703 33300 LEGADO,49.99,16
000000704540,SAND MOLEKINHA 230362526415 16072 LEGADO,49.99,16
000000706216,TENIS MINI PE MP2333 22A33 MASC LUZ LEGADO,49.99,16
000000730624,CHINELO MODARE 713213822454 15745 LEGADO,49.99,16
000000682350,SANDALIA ADDAN SINT 9200 34A43 2023 LEGADO,39.99,16
000000702317,SANDALIA MOLECA 546211126369 84110 LEGADO,39.99,16
000000704571,SAND MOLEKINHA 234410325586 15745 LEGADO,39.99,16
000000725910,SAPATENIS KREEPER SINTET DIV AD MAS LEGADO,39.99,16
000000730211,SANDALIA MOLECA 546211123919 15745 LEGADO,39.99,16
000000704496,SAND MOLEKINHA 271420826499 15745 LEGADO,29.99,16
000000704731,CHINELO VIZZANO 623511497286 15745 LEGADO,29.99,16
000000706094,SANDALIA SQUIZZ 1241NV 34A40 LEGADO,29.99,16
000000707329,TENIS BOX200 BX2352 34A40 2023 FEM LEGADO,29.99,16
000000730259,SAPATILHA MOLEC 5027140716936 42884 LEGADO,29.99,16
000000730266,SAPATILHA MOLEC 5027146611804 52531 LEGADO,29.99,16
000000747684,CHINELO IPANEMA 27322 DIV MAIS SLID LEGADO,24.99,16
000000688208,CHINELO IPANEMA 25729 BARBIE STYLE LEGADO,24.99,16
000000703321,CHINEL MOLEKINHO 242010713958 15745 LEGADO,24.99,16
000000703369,SAND MOLEKINHO 213565826440 93986 LEGADO,24.99,16
000000704380,SAPATI MOLEKINHA 250238725586 15745 LEGADO,24.99,16
000000704403,SAPATI MOLEKINHA 25023876000 16072 LEGADO,24.99,16
000000704502,SAND MOLEKINHA 212114212638 51743 LEGADO,24.99,16
000000728577,CHINELO GRENDHA 18977 TODO DIA ELEG LEGADO,19.99,16
000000365178,CHINELO RIDER 10611 R1 INK MAS AD LEGADO,19.99,16
000000708043,CHINELO IPANEMA 27171 EDGE AD FEM LEGADO,19.99,16
000000747677,CHINELO IPANEMA 27239 DIVERSA MAIS LEGADO,14.99,16
000000747714,CHINELO IPANEMA 27232 DIVERSA GASPE LEGADO,14.99,16
000000657723,RASTEIRINHA ADDAN SINT 2438 AD 2022 LEGADO,14.99,16
000000688130,CHINELO IPANEMA 27102 X MEN LEGADO,14.99,16
000000708050,CHINELO IPANEMA 18901 CEARA AD FEM LEGADO,14.99,16
000000731256,CHINELO BEIRA MAR-SANDBELL AD FEM LEGADO,9.99,16
000000662277,CHINELO GRENDHA 18669 CACAU ELO FEM LEGADO,9.99,16
000000468770,RASTEIRINHA D CABRI DV 34A40 VERNIZ LEGADO,4.99,16
000000789547,TENIS ACTIVITA 493410029435 101673 LEGADO,159.99,16
000000786294,SAPATENIS STIR SPA40 37A44 MASC LEGADO,99.99,16
000000729628,TENIS ACTVITTA 483610727545 32763 LEGADO,99.99,16
000000789646,SANDALIA VIZZANO 651011227850 97250 LEGADO,99.99,16
000000704649,TENIS VIZZANO 12142057286 16072 LEGADO,79.99,16
000000704656,TENIS VIZZANO 12142055881 15745 LEGADO,79.99,16
000000704694,SAPATO VIZZANO 11857027286 15745 LEGADO,79.99,16
000000786478,SAPATENIS RAYON R1708 37A44 MASC,69.99,16
000000789295,TENIS MOLEKINHA 25821039569 101768 LEGADO,79.99,16
000000785822,CHINELO IPANEMA 23198 STITCH SUMMER LEGADO,69.99,16
000000786706,SAPATENIS POLO ENERGY 3379 3322 AD LEGADO,69.99,16
000000786850,PAPETE SERENITY ZX2327 34A40 LEGADO,59.99,16
000000785747,CHINELO IPANEMA 12482 CARTAGO SINTR LEGADO,59.99,16
000000785839,SANDALIA IPANE 23322 DISNEY DUO STI LEGADO,59.99,16
000000786409,TENIS STAR FEET 3500L 28A35 UNISSEX LEGADO,59.99,16
000000786607,TENIS BOX200 BX2552 34A43 MASC LEGADO,69.99,16
000000786836,PAPETE SERENITY KX2336 34A40 LEGADO,59.99,16
000000657785,SANDALIA ADDAN SINT 5168 34A39 2023 LEGADO,59.99,16
000000682855,CHINELO RIDER 12015 SPRINT DEDO AD LEGADO,49.99,16
000000707404,CHINELO CARTAGO 12287 EGEU AD MASC LEGADO,49.99,16
000000785785,CHINELO IPANEMA 19147 AZALEIA MEL LEGADO,49.99,16
000000785846,SANDALIA IPANE 23160 DISNEY EAS STI LEGADO,49.99,16
000000786577,TENIS BOX200 BX2504 34A43 MASC LEGADO,59.99,16
000000786584,TENIS BOX200 BX2507 34A43 MASC LEGADO,59.99,16
000000786591,TENIS BOX200 BX2510 34A43 MASC LEGADO,59.99,16
000000786621,TENIS BOX200 BX2507 34A40 FEM LEGADO,59.99,16
000000786638,TENIS BOX200 BX2509 34A40 FEM LEGADO,59.99,16
000000680813,BOTA FOFIORI BX2301 34A40 2023 FEM LEGADO,49.99,16
000000785815,CHINELO IPAN 22994 DISNEY MAN STITC LEGADO,39.99,16
000000786645,TENIS BOX200 BK2006 28A35 MASC LEGADO,49.99,16
000000786652,TENIS BOX200 BK2010 28A35 MASC LEGADO,49.99,16
000000808293,INFANTIL FEM CHINELO MAXSHOP LEGADO,39.99,16
000000513555,CHINELO GRENDENE 11326 C MAIORCA ES LEGADO,39.99,16
000000682381,BOTA ADDAN SINT 8048 34A40 2023 FEM LEGADO,39.99,16
000000707411,CHINELO MORMAI 12304 NEOCYCLE AD MA,39.99,16
000000711616,SAPATO ANDAR LEVE COURO DIV B CURTO LEGADO,39.99,16
000000786751,RASTEIRA SERENITY PE2253 34A40 LEGADO,29.99,16
000000786768,RASTEIRA SERENITY PE2272 34A40 LEGADO,29.99,16
000000786775,RASTEIRA SERENITY PE2380 34A40 LEGADO,29.99,16
000000786799,RASTEIRA SERENITY PE2353 34A40 LEGADO,29.99,16
000000643467,CHINELO RIDER 12107 STREET CITY MAS LEGADO,24.99,16
000000677899,SAPATO SR CAMURCA 1301 38A43 MOCASS LEGADO,29.99,16
000000627337,PANTUFA SAPOPE FEM PMGG,24.99,16
000000643412,CHINELO RIDER 11650 R1 SPEED AD MAS LEGADO,24.99,16
000000785761,SANDALIA IPANEMA 27375 DIVERS VERAO LEGADO,24.99,16
000000622929,CHINELO RIDER 11957 R1 STYLE LEGADO,19.99,16
000000747653,RASTEIRA GRENDHA 19032 TODO DIA AD LEGADO,19.99,16
000000762823,CHINELO IPANEMA 27331 EASY MAIS FEM LEGADO,19.99,16
000000808330,RASTEIRA GRENDHA 19158 TODO DIA FEM,19.99,16
000000785709,CHINELO IPANEMA 27307 JOLIE LEGADO,19.99,16
000000248778,CHINELO IPANEMA 25122 ANATOM SURF M,19.99,16
000000682916,CHINELO IPANEMA 26770 EASY FEM AD,19.99,16
000000728591,CHINELO GRENDHA 18964 TODO DIA LIND LEGADO,14.99,16
000000731263,CHINELAO BEIRA MAR-SANDBELL AD MASC LEGADO,14.99,16
000000747707,CHINELO IPANEMA 27230 DIVERSA AD FE,14.99,16
000000731249,CHINELO BEIRA MAR-SANDBELL AD MASC LEGADO,9.99,16
000000310338,SAPATO ANDARLEVE COURO 36A44 MASCUL LEGADO,9.99,16
000000817080,SANDALIA VIZZAN 655910129711 104068 Mocca LEGADO,179.99,16
000000816656,TENIS MOLEKINHO 286910730831 106359 Preto LEGADO,149.99,16
000000817127,SANDALIA VIZZAN 650612729711 35312 Off White LEGADO,149.99,16
000000817134,SANDALIA VIZZAN 650612729711 104068 Mocca LEGADO,149.99,16
000000817226,TAMANCO VIZZANO 65591007286 29452 LEGADO LEGADO,149.99,16
000000817141,SANDALIA VIZZAN 64281047286 15745 Preto LEGADO,129.99,16
000000816823,TENIS MOLEKINHO 262012113958 73049 Marinho LEGADO,129.99,16
000000816601,TENIS MOLEKINHO 283812317063 98440 Off White LEGADO,99.99,16
000000816502,TENIS MOLEKINHO 262312113958 98416 Off White LEGADO,99.99,16
000000814669,IATE RAYON SINT R1700 37A44 MASC Preto LEGADO,79.99,16
000000815062,TENIS MODA LEVE ML02 34A40 FEM Sortida LEGADO,59.99,16
000000815079,TENIS MODA LEVE ML01 34A40 FEM Sortida LEGADO,59.99,16
000000815086,TENIS MODA LEVE 700 34A40 FEM Sortida LEGADO,59.99,16
000000429696,CHINELO GRENDENE 11073 RIDR MASC LEGADO ZZ,9.99,16
000000130165,MASCULINO CHUTEIRA MAXSHOP LEGADO LEGADO,4.99,16
000000205870,MASCULINO SAPATO MAXSHOP LEGADO LEGADO,4.99,16
000000278027,MASCULINO SAPATO MAXSHOP LEGADO LEGADO,4.99,16
000000223355,FEMININO BOTA MAXSHOP LEGADO LEGADO,7.99,16
000000259620,MASCULINO CHINELO MAXSHOP LEGADO LEGADO,7.99,16
000000248754,SANDALIA IPANEMA 25274 FEM,4.99,16
000000110181,MASCULINO SAPATO MAXSHOP LEGADO LEGADO,4.99,16
000000192491,MASCULINO CHINELO MAXSHOP LEGADO LEGADO,4.99,16
000000224314,INFANTIL MASC TENIS MAXSHOP LEGADO LEGADO,4.99,16
000000354172,SAPATO D MARIO CURVIM 026 MASC,4.99,16
000000462174,CHINELO GRENDENE 11231 CAT CATAGENA,4.99,16
000000463430,CHINELO IPANEMA 11392 STRIKE NBA MA,4.99,16
000000490689,TENIS RESERVA RB0013 SOLA BRANCA MA,4.99,16
000000490702,TENIS RESERVA RB0012 YAHTCH MASC AD,4.99,16
000000390637,RASTEIRINHA TALLITA DIAS DIVERSAS,4.99,16
000000523011,TENIS RED SUN 2896311 FEM ADULTO,4.99,16
000000466134,TENIS BOX 200 1731 MASC 34A43,4.99,16
000000513630,SANDALIA CROMIC 2643 ANABELA BAIXA,4.99,16
000000405690,CHINELO RIDER 11073 STRIKE PLUS AD,4.99,16
000000462143,CHINELO RIDER 11441 BARCELONA FC AD,4.99,16
000000512503,CHINELO GRENDENE 11450 CATA CORVETT,4.99,16
000000557283,SAPATO MOONCITY 87074 37A43 MARROM,9.99,16
000000475334,SAPATO VIA VINE VERNIS MASC ADULTO,9.99,16
000000536837,BOTA ANJU 7569 7910 7940 AD FEM,9.99,16
000000539104,CHINELO CARTAGO 11527 MASC MALI,9.99,16
000000539173,CHINELO CARTAGO 11525 MASC AD TUNES,9.99,16
000000546409,TENIS LOGUS 19880P 34A39 FEM,9.99,16
000000549448,CHINELO HAVAIANAS SLIM GOT FEM AD,9.99,16
000000549455,CHINELO HAVAIANAS SLIM HARRY P F AD,9.99,16
000000557221,SAPATO MOONCITY 87073 37A43 PRETO M,9.99,16
